airport_ident,length__meters,width__meters,le_ident,le_heading_degT,le_displaced_threshold__meters,he_ident,he_heading_degT,he_displaced_threshold__meters,le_latitude_deg,le_longitude_deg,he_latitude_deg,he_longitude_deg
KHOB,1829,46,12,135,0,30,315,0,32.69390106201172,-103.22100067138672,32.68220138549805,-103.20800018310547
KHON,2195,30,12,128,0,30,308,0,44.392398834228516,-98.24140167236328,44.38019943237305,-98.2197036743164
KHOP,3597,61,05,44,273,23,224,0,36.66120147705078,-87.50509643554688,36.68450164794922,-87.47699737548828
KHOT,2010,46,05,54,0,23,234,149,34.472999572753906,-93.1063003540039,34.48360061645508,-93.0885009765625
KHOU,2317,46,04,44,0,22,224,0,29.63909912109375,-95.2853012084961,29.654199600219727,-95.2686996459961
KHOU,2317,46,12R,134,315,30L,314,61,29.65089988708496,-95.2854995727539,29.63640022277832,-95.26830291748047
KHOU,1829,46,17,179,0,35,359,0,29.65239906311035,-95.28469848632812,29.635900497436523,-95.2843017578125
KHPN,1996,46,16,150,0,34,330,0,41.075599670410156,-73.71330261230469,41.060001373291016,-73.70140075683594
KHQZ,1828,30,17,181,0,35,1,0,32.75519943237305,-96.5302963256836,32.73870086669922,-96.53060150146484
KHRL,2212,46,13,136,0,31,316,0,26.233200073242188,-97.66400146484375,26.218900680541992,-97.64849853515625
KHRL,1813,46,17L,181,0,35R,1,58,26.233999252319336,-97.64869689941406,26.217599868774414,-97.6489028930664
KHRL,2530,46,17R,181,0,35L,1,0,26.240400314331055,-97.65859985351562,26.217599868774414,-97.65889739990234
KHRO,1878,46,18,186,0,36,6,0,36.269901275634766,-93.15370178222656,36.25310134887695,-93.15570068359375
KHRT,2926,46,18,176,0,36,356,0,30.442100524902344,-86.68990325927734,30.415800094604492,-86.68769836425781
KHRX,1859,30,02,29,0,20,209,0,34.85499954223633,-102.3290023803711,34.87009811401367,-102.31900024414062
KHSA,2591,46,18,180,0,36,360,0,30.379499435424805,-89.45459747314453,30.35610008239746,-89.45469665527344
KHSI,1966,30,14,150,0,32,330,290,40.61439895629883,-98.43370056152344,40.5989990234375,-98.4220962524414
KHST,3414,91,05,49,0,23,229,0,25.478500366210938,-80.39640045166016,25.498600006103516,-80.37069702148438
KHSV,3050,46,18L,181,0,36R,1,63,34.653099060058594,-86.7655029296875,34.6255989074707,-86.76599884033203
KHSV,3840,46,18R,181,0,36L,1,0,34.652801513671875,-86.78209686279297,34.61819839477539,-86.78279876708984
KHTH,1829,30,10,116,0,28,296,0,38.54759979248047,-118.64299774169922,38.54029846191406,-118.6240005493164
KHTS,1984,46,12,112,0,30,292,0,38.371700286865234,-82.57009887695312,38.36479949951172,-82.54900360107422
KHUA,2225,46,17,169,0,35,349,0,34.688499450683594,-86.68699645996094,34.668800354003906,-86.68260192871094
KHUF,2749,46,05,47,0,23,227,0,39.44049835205078,-87.32319641113281,39.457298278808594,-87.29969787597656
KHUF,2195,46,14,135,0,32,315,0,39.45970153808594,-87.3104019165039,39.44580078125,-87.29239654541016
KHUT,1829,30,04,42,122,22,222,0,38.05849838256836,-97.86370086669922,38.070701599121094,-97.84960174560547
KHUT,2135,30,13,138,0,31,318,0,38.07419967651367,-97.87110137939453,38.059898376464844,-97.85489654541016
KHYI,1929,30,08,88,0,26,268,0,29.891799926757812,-97.8770980834961,29.892499923706055,-97.85710144042969
KHYS,1981,30,16,167,0,34,347,0,38.85279846191406,-99.27629852294922,38.83539962768555,-99.27130126953125
KIAB,3658,61,01L,13,0,19R,193,0,37.6072998046875,-97.27349853515625,37.63949966430664,-97.2645034790039
KIAB,3658,91,01R,13,0,19L,193,0,37.6068000793457,-97.27069854736328,37.638999938964844,-97.26180267333984
KIAD,3506,46,01C,1,0,19C,181,0,38.9390983581543,-77.45980072021484,38.97060012817383,-77.45929718017578
KIAD,3506,46,01L,1,0,19R,181,0,38.9390983581543,-77.45980072021484,38.97060012817383,-77.45929718017578
KIAD,3505,46,01R,1,0,19L,181,0,38.92380142211914,-77.4364013671875,38.955299377441406,-77.43599700927734
KIAD,3201,46,12,111,0,30,291,0,38.94380187988281,-77.49040222167969,38.93360137939453,-77.45590209960938
KIAG,2996,46,10L,90,213,28R,270,0,43.109500885009766,-78.96880340576172,43.109500885009766,-78.93199920654297
KIAH,2743,46,08L,90,0,26R,270,0,30.007200241088867,-95.35880279541016,30.007200241088867,-95.33039855957031
KIAH,2866,46,08R,90,0,26L,270,0,29.99340057373047,-95.3550033569336,29.99340057373047,-95.32530212402344
KIAH,3048,46,09,90,0,27,270,0,29.97760009765625,-95.33409881591797,29.97760009765625,-95.30249786376953
KIAH,3658,46,15L,152,0,33R,332,0,29.987899780273438,-95.35790252685547,29.958799362182617,-95.33999633789062
KIAH,3048,46,15R,152,0,33L,332,0,29.98780059814453,-95.36139678955078,29.963499069213867,-95.34649658203125
KICT,3140,46,01L,20,0,19R,200,0,37.6349983215332,-97.44599914550781,37.661598205566406,-97.43379974365234
KICT,2225,46,01R,20,0,19L,200,0,37.642799377441406,-97.42630004882812,37.661598205566406,-97.4177017211914
KICT,1921,46,14,150,0,32,330,0,37.657501220703125,-97.44010162353516,37.642601013183594,-97.42919921875
KIDA,2744,46,02,38,0,20,218,0,43.502498626708984,-112.08499908447266,43.52199935913086,-112.06400299072266
KIDL,2131,46,17,180,0,35,360,0,33.495399475097656,-90.67890167236328,33.47610092163086,-90.67880249023438
KIFP,2292,46,16,176,0,34,356,0,35.167701721191406,-114.55999755859375,35.147098541259766,-114.55899810791016
KIGM,2081,46,03,45,0,21,225,0,35.25149917602539,-113.947998046875,35.26470184326172,-113.93199920654297
KIKK,1822,30,04,38,0,22,218,0,41.065799713134766,-87.85479736328125,41.07870101928711,-87.84140014648438
KILG,2137,46,01,5,0,19,185,0,39.6693000793457,-75.60379791259766,39.68840026855469,-75.60160064697266
KILG,2189,46,09,78,0,27,258,0,39.6781005859375,-75.62010192871094,39.68230056762695,-75.59529876708984
KILM,2443,61,06,48,0,24,228,0,34.26190185546875,-77.9103012084961,34.2765007019043,-77.8905029296875
KILM,2135,46,17,159,0,35,339,0,34.28120040893555,-77.90910339355469,34.26319885253906,-77.9009017944336
KILN,3262,46,04L,37,0,22R,217,0,39.41939926147461,-83.8093032836914,39.44269943237305,-83.78630065917969
KILN,2743,46,04R,37,0,22L,217,0,39.414398193359375,-83.79499816894531,39.433998107910156,-83.77570343017578
KIMT,1981,46,01,8,0,19,188,0,45.81050109863281,-88.11509704589844,45.82820129394531,-88.11170196533203
KIND,3414,46,05L,44,0,23R,224,0,39.70640182495117,-86.32080078125,39.72829818725586,-86.29290008544922
KIND,3048,46,05R,45,0,23L,225,0,39.700199127197266,-86.30439758300781,39.71979904174805,-86.27950286865234
KIND,2318,46,14,135,0,32,315,0,39.73419952392578,-86.28880310058594,39.719600677490234,-86.26959991455078
